iter	Passed	Remaining
0	80	240213
1	287	431555
2	417	416590
3	553	414936
4	693	415253
5	824	411232
6	951	406741
7	1087	406767
8	1227	407816
9	1359	406472
10	1479	402103
11	1599	398276
12	1724	396240
13	1831	390686
14	1944	386986
15	2078	387633
16	2199	385928
17	2324	385123
18	2446	383852
19	2585	385191
20	2682	380567
21	2802	379349
22	2916	377517
23	3039	376909
24	3157	375742
25	3283	375578
26	3405	374996
27	3546	376484
28	3676	376669
29	3802	376417
30	3945	377843
31	4060	376578
32	4196	377288
33	4347	379273
34	4478	379357
35	4601	378820
36	4723	378246
37	4841	377405
38	4984	378422
39	5101	377543
40	5206	375749
41	5349	376740
42	5484	377168
43	5625	377906
44	5722	375797
45	5862	376492
46	5995	376703
47	6121	376452
48	6238	375720
49	6357	375112
50	6475	374409
51	6594	373882
52	6717	373497
53	6835	372892
54	6950	372184
55	7072	371825
56	7189	371205
57	7283	369450
58	7401	368945
59	7555	370234
60	7706	371294
61	7801	369674
62	7916	369058
63	8031	368436
64	8150	368033
65	8270	367658
66	8364	366181
67	8477	365543
68	8595	365119
69	8721	365071
70	8840	364687
71	8977	365097
72	9107	365163
73	9230	364988
74	9346	364520
75	9469	364340
76	9584	363837
77	9698	363315
78	9830	363462
79	9939	362782
80	10066	362775
81	10188	362578
82	10292	361731
83	10398	360981
84	10515	360631
85	10634	360327
86	10750	359946
87	10871	359757
88	10986	359344
89	11082	358325
90	11199	358015
91	11346	358651
92	11479	358816
93	11629	359509
94	11777	360129
95	11907	360200
96	12032	360102
97	12149	359786
98	12285	360014
99	12424	360298
100	12543	360047
101	12677	360193
102	12799	359995
103	12919	359744
104	13040	359543
105	13155	359160
106	13265	358671
107	13374	358150
108	13503	358148
109	13603	357390
110	13757	358074
111	13907	358615
112	14034	358555
113	14231	360293
114	14415	361637
115	14749	366711
116	14969	368871
117	15183	370846
118	15436	373710
119	15707	376971
